key	value
the	880
to	807
and	724
a	580
her	367
is	324
of	318
his	287
in	283
with	250
he	243
that	241
she	217
for	181
him	166
as	128
by	127
at	120
but	119
they	112
on	109
who	102
their	92
The	91
has	91
from	87
up	84
not	78
are	78
be	77
an	75
about	70
out	68
it	68
He	64
after	63
them	59
have	57
when	54
which	52
She	49
tells	49
into	49
two	45
When	44
get	43
love	41
will	41
was	40
can	38
After	38
go	36
where	36
does	34
first	33
other	32
time	32
this	32
off	32
relationship	31
over	31
back	31
day	31
man	30
himself	30
so	29
because	29
friend	29
only	28
then	28
also	28
being	28
make	27
been	27
asks	27
film	27
away	26
home	26
In	26
one	26
family	25
finds	25
night	25
while	25
more	24
party	24
all	24
father	24
old	24
new	24
each	23
becomes	23
tries	23
goes	22
find	22
just	22
married	22
three	22
wife	22
way	22
parents	21
At	21
later	20
leaves	20
They	20
having	20
woman	20
next	20
house	20
life	20
car	20
had	20
school	19
before	19
decides	19
mother	18
both	18
see	18
Michael	18
again	18
until	18
comes	18
take	18
John	18
help	17
husband	17
meets	17
room	17
another	17
As	17
named	17
friends	17
leave	17
some	17
if	17
wedding	17
down	17
what	16
soon	16
George	16
through	16
marriage	15
wants	15
gets	15
arrives	15
girlfriend	15
gives	15
much	15
hotel	15
become	15
there	15
end	15
On	15
together	15
Paul	14
town	14
Joe	14
did	14
young	14
money	14
However	14
do	14
returns	14
finally	14
now	14
men	14
sees	13
takes	13
well	13
never	13
years	13
best	13
without	13
no	13
Jack	13
own	13
Andy	13
Steve	13
ends	13
realizes	13
trying	12
true	12
still	12
agrees	12
date	12
work	12
learns	12
things	12
start	12
even	12
Mary	12
run	12
how	12
James	12
leaving	12
working	12
win	12
breaks	12
college	12
story	12
marry	11
very	11
While	11
kiss	11
dance	11
refuses	11
too	11
same	11
call	11
police	11
getting	11
want	11
girls	11
starts	11
since	11
says	11
job	11
would	11
boyfriend	11
living	11
calls	11
morning	11
former	11
brother	11
falls	11
American	11
Tom	11
Henry	11
called	10
Scott	10
against	10
you	10
show	10
A	10
discovers	10
attempts	10
Sam	10
meet	10
Charles	10
though	10
tell	10
Julie	10
ex	10
try	10
alone	10
Later	10
I	10
It	10
going	10
between	10
begins	10
daughter	10
truth	10
telling	10
during	10
sleep	10
baby	10
sex	10
return	10
once	10
know	9
herself	9
immediately	9
good	9
head	9
Despite	9
reveals	9
visit	9
making	9
ship	9
movie	9
Bill	9
dinner	9
stay	9
set	9
thinks	9
Ben	9
stop	9
attempt	9
however	9
like	9
dr	9
ca	9
New	9
days	9
Mike	9
affair	9
runs	9
company	9
must	9
One	9
makes	9
real	8
apartment	8
Sally	8
Grace	8
girl	8
Frank	8
follows	8
couple	8
could	8
Jenny	8
come	8
plan	8
book	8
Ann	8
nothing	8
wealthy	8
feelings	8
looking	8
use	8
train	8
York	8
give	8
saying	8
business	8
body	8
present	8
water	8
able	8
small	8
secretary	7
Maggie	7
Victor	7
grandmother	7
Philip	7
meeting	7
high	7
along	7
But	7
than	7
loves	7
owner	7
someone	7
really	7
Meanwhile	7
thinking	7
student	7
assistant	7
engaged	7
pregnant	7
long	7
kill	7
taken	7
