Cursor clicked at (379, 163)
Cursor moved to (291, 163), brush_size = 6, color = white
Cursor moved to (284, 163), brush_size = 6, color = white
Cursor moved to (263, 162), brush_size = 6, color = white
Cursor moved to (257, 161), brush_size = 6, color = white
Cursor moved to (245, 161), brush_size = 6, color = white
Cursor moved to (243, 161), brush_size = 6, color = white
Cursor moved to (241, 160), brush_size = 6, color = white
Cursor moved to (241, 161), brush_size = 6, color = white
Cursor moved to (240, 162), brush_size = 6, color = white
Cursor moved to (238, 162), brush_size = 6, color = white
Cursor moved to (232, 165), brush_size = 6, color = white
Cursor moved to (221, 171), brush_size = 6, color = white
Cursor moved to (216, 175), brush_size = 6, color = white
Cursor moved to (215, 176), brush_size = 6, color = white
Cursor moved to (216, 177), brush_size = 6, color = white
Cursor moved to (219, 177), brush_size = 6, color = white
Cursor moved to (222, 177), brush_size = 6, color = white
Cursor moved to (237, 174), brush_size = 6, color = white
Cursor moved to (259, 173), brush_size = 6, color = white
Cursor moved to (283, 172), brush_size = 6, color = white
Cursor moved to (302, 171), brush_size = 6, color = white
Cursor moved to (326, 171), brush_size = 6, color = white
Cursor moved to (329, 171), brush_size = 6, color = white
Cursor moved to (362, 172), brush_size = 6, color = white
Cursor moved to (365, 172), brush_size = 6, color = white
Cursor moved to (372, 172), brush_size = 6, color = white
Cursor moved to (393, 174), brush_size = 6, color = white
Cursor moved to (401, 175), brush_size = 6, color = white
Cursor moved to (425, 179), brush_size = 6, color = white
Cursor moved to (431, 179), brush_size = 6, color = white
Cursor moved to (442, 181), brush_size = 6, color = white
Cursor moved to (444, 182), brush_size = 6, color = white
Cursor moved to (445, 182), brush_size = 6, color = white
Cursor moved to (450, 183), brush_size = 6, color = white
Cursor moved to (472, 183), brush_size = 6, color = white
Cursor moved to (482, 183), brush_size = 6, color = white
Cursor moved to (488, 183), brush_size = 6, color = white
Cursor moved to (496, 183), brush_size = 6, color = white
Cursor moved to (542, 183), brush_size = 6, color = white
Cursor moved to (563, 183), brush_size = 6, color = white
Cursor moved to (611, 185), brush_size = 6, color = white
Cursor moved to (618, 186), brush_size = 6, color = white
Cursor moved to (628, 186), brush_size = 6, color = white
Cursor moved to (629, 186), brush_size = 6, color = white
Cursor moved to (629, 185), brush_size = 6, color = white
Cursor moved to (630, 183), brush_size = 6, color = white
Cursor moved to (634, 183), brush_size = 6, color = white
Cursor moved to (666, 188), brush_size = 6, color = white
Cursor moved to (676, 189), brush_size = 6, color = white
Cursor moved to (703, 191), brush_size = 6, color = white
Cursor moved to (711, 191), brush_size = 6, color = white
Cursor moved to (724, 191), brush_size = 6, color = white
Cursor moved to (733, 191), brush_size = 6, color = white
Cursor moved to (734, 191), brush_size = 6, color = white
Cursor moved to (737, 191), brush_size = 6, color = white
Cursor moved to (740, 190), brush_size = 6, color = white
Cursor moved to (744, 186), brush_size = 6, color = white
Cursor moved to (746, 184), brush_size = 6, color = white
Cursor moved to (747, 184), brush_size = 6, color = white
Cursor moved to (747, 183), brush_size = 6, color = white
Cursor moved to (747, 182), brush_size = 6, color = white
Cursor moved to (747, 180), brush_size = 6, color = white
Cursor moved to (747, 179), brush_size = 6, color = white
Cursor moved to (743, 175), brush_size = 6, color = white
Cursor moved to (740, 174), brush_size = 6, color = white
Cursor moved to (723, 166), brush_size = 6, color = white
Cursor moved to (711, 162), brush_size = 6, color = white
Cursor moved to (685, 157), brush_size = 6, color = white
Cursor moved to (682, 156), brush_size = 6, color = white
Cursor moved to (666, 155), brush_size = 6, color = white
Cursor moved to (649, 153), brush_size = 6, color = white
Cursor moved to (635, 151), brush_size = 6, color = white
Cursor moved to (595, 149), brush_size = 6, color = white
Cursor moved to (583, 149), brush_size = 6, color = white
Cursor moved to (534, 151), brush_size = 6, color = white
Cursor moved to (520, 151), brush_size = 6, color = white
Cursor moved to (484, 151), brush_size = 6, color = white
Cursor moved to (476, 152), brush_size = 6, color = white
Cursor moved to (466, 152), brush_size = 6, color = white
Cursor moved to (466, 153), brush_size = 6, color = white
Cursor moved to (462, 153), brush_size = 6, color = white
Cursor moved to (454, 153), brush_size = 6, color = white
Cursor moved to (449, 153), brush_size = 6, color = white
Cursor moved to (415, 153), brush_size = 6, color = white
Cursor moved to (407, 153), brush_size = 6, color = white
Cursor moved to (383, 153), brush_size = 6, color = white
Cursor moved to (380, 153), brush_size = 6, color = white
Cursor moved to (373, 153), brush_size = 6, color = white
Cursor moved to (363, 153), brush_size = 6, color = white
Cursor moved to (353, 153), brush_size = 6, color = white
Cursor moved to (351, 153), brush_size = 6, color = white
Cursor moved to (350, 153), brush_size = 6, color = white
Cursor moved to (350, 152), brush_size = 6, color = white
Cursor moved to (350, 153), brush_size = 6, color = white
Cursor moved to (350, 154), brush_size = 6, color = white
Cursor moved to (350, 155), brush_size = 6, color = white
Cursor moved to (350, 156), brush_size = 6, color = white
Cursor moved to (346, 158), brush_size = 6, color = white
Cursor moved to (345, 158), brush_size = 6, color = white
Cursor moved to (344, 159), brush_size = 6, color = white
Cursor moved to (345, 159), brush_size = 6, color = white
Cursor released at (345, 159)
